Index,Name,PUBCHEM_COMPOUND_CID,ACTIVITY,ALogP98,ES_Sum_dO,ES_Sum_dssC,ES_Sum_sOH,ES_Sum_ssCH2,ES_Sum_ssO,ES_Sum_sssCH,ES_Count_dssC,ES_Count_sCH3,Molecular_Solubility,Num_DoubleBonds,Num_H_Acceptors,Molecular_FractionalPolarSurfaceArea,CIC,IAC_Mean,IC,JX,Wiener,SC_3_P
1,7765,7765,Non-Bitter,0.78,0,0,0,1.45,10.12,-0.04,0,3,-0.88,0,2,0.13,0.75,1.24,2.25,2.7,75,6
2,177,177,Non-Bitter,-0.18,8.81,0,0,0,0,0,0,1,0.17,1,1,0.29,0,1.38,1.58,2.05,4,0
3,62876,62876,Non-Bitter,3.31,0,0,0,4.73,11.07,-0.09,0,2,-4.08,3,2,0.08,0.84,1.21,3.16,1.99,567,19
4,83036,83036,Non-Bitter,3.24,0,0,0,3.83,11.02,1.36,0,5,-3.23,0,2,0.08,1.69,1.14,2.12,3.09,397,12
5,108504,108504,Non-Bitter,2.23,0,0,0,3.54,10.56,-0.07,0,3,-2.74,1,2,0.09,0.73,1.2,2.86,2.98,265,10
6,61403,61403,Non-Bitter,2.86,0,0,0,3.47,10.93,-0.09,0,2,-3.59,3,2,0.08,0.72,1.23,3.19,2.03,462,18
7,176,176,Non-Bitter,-1.68,9,-0.83,7.42,0,0,0,1,1,0.12,1,2,0.53,0.5,1.56,1.5,2.57,9,0
8,7918,7918,Non-Bitter,-0.2,19.62,-1.13,0,0,3.97,0,2,2,-0.59,2,3,0.38,0.86,1.53,1.95,3.03,48,4
9,179,179,Non-Bitter,-0.29,9.89,-0.19,8.28,0,0,-0.79,1,2,-0.28,1,2,0.35,0.33,1.38,2.25,3.1,29,4
10,180,180,Non-Bitter,-0.1,9.44,0.17,0,0,0,0,1,2,-0.12,1,1,0.22,0.5,1.3,1.5,2.68,9,0
11,15908632,15908632,Non-Bitter,-0.7,0,0,15.62,0,7.23,0,0,2,0.15,0,4,0.51,0.86,1.46,1.95,3,44,6
12,19137,19137,Non-Bitter,1.82,21.41,-0.15,0,1.28,4.89,0,2,2,-3.08,5,3,0.2,1.2,1.37,2.71,2.49,434,19
13,61585,61585,Non-Bitter,4.49,11.9,0.2,0,2.19,0,0,1,6,-5.95,4,1,0.06,1.19,1.12,2.97,2.7,532,38
